month,symbol,day,med,hi,lo,hi_dev,lo_dev,bars
2026_03,RMDRIP,2026-03-10,46.56,46.56,27.16,0.0,0.41666666666666674,375
2026_03,RMDRIP,2026-03-11,44.24,44.24,25.81,0.0,0.4165913200723328,375
2026_03,RMDRIP,2026-03-12,24.52,42.03,24.52,0.7141109298531811,0.0,375
2026_03,RMDRIP,2026-03-13,23.29,39.93,23.29,0.7144697294976385,0.0,375
2026_03,RMDRIP,2026-03-16,22.13,37.94,22.13,0.7144148215092634,0.0,375
2026_03,RMDRIP,2026-03-17,36.05,39.83,21.03,0.10485436893203892,0.41664355062413305,375
2026_03,RMDRIP,2026-03-18,37.87,38.87,21.06,0.026406126221283355,0.4438869817797729,375
2026_03,RMDRIP,2026-03-19,23.8,40.81,22.75,0.7147058823529413,0.044117647058823595,375
2026_03,RMDRIP,2026-03-20,24.99,42.85,24.99,0.71468587434974,0.0,375
2026_03,RMDRIP,2026-03-23,40.71,42.8,23.75,0.051338737410955515,0.4166052566936871,375
2026_03,RMDRIP,2026-03-24,38.68,40.42,22.56,0.04498448810754918,0.41675284384694933,375
2026_03,RMDRIP,2026-03-25,22.71,40.63,21.58,0.789079700572435,0.049757815940114636,375
2026_03,RMDRIP,2026-03-27,21.79,38.21,20.88,0.7535566773749427,0.041762276273519916,375
2026_03,RMDRIP,2026-03-30,21.32,39.61,20.91,0.8578799249530957,0.019230769230769273,375
2026_04,RMDRIP,2026-04-01,24.01,41.16,23.45,0.714285714285714,0.023323615160349975,375
2026_04,RMDRIP,2026-04-02,25.15,43.21,23.1,0.7180914512922467,0.0815109343936381,375
2026_04,RMDRIP,2026-04-07,27.61,47.34,24.99,0.7145961608113005,0.09489315465411086,375
2026_04,RMDRIP,2026-04-09,26.31,48.06,26.31,0.8266818700114027,0.0,375
