T1_entry_date,symbol,cap_segment,side,iv_rank,trigger_ts,entry_ts,entry_price,hard_sl,t1_target,t2_target,hit_t1,exit_ts,exit_price,exit_reason,stop_distance,qty,realized_pnl,fee,net_pnl
2024-11-29,NSE:UBL,large_cap,LONG,0.08736242571934288,2024-11-29 11:00:00,2024-11-29 11:05:00,1948.05,1928.5694999999998,1967.5305,1987.0110000000002,False,2024-11-29 15:10:00,1953.0,time_stop,19.48050000000012,51,252.45000000000232,82.5233229913,169.9266770087023
2024-12-03,NSE:UBL,large_cap,LONG,0.06532788328552115,2024-12-03 11:00:00,2024-12-03 11:05:00,1954.15,1934.6085,1973.6915000000001,1993.2330000000002,False,2024-12-03 15:10:00,1957.5,time_stop,19.541500000000042,51,170.84999999999536,82.61025267490002,88.23974732509534
2024-12-06,NSE:UBL,large_cap,LONG,0.04234904425388937,2024-12-06 11:00:00,2024-12-06 11:05:00,1969.9,1950.201,1989.5990000000002,2009.2980000000002,False,2024-12-06 15:10:00,1966.05,time_stop,19.69900000000007,50,-192.50000000000682,82.091882285,-274.5918822850068
2024-12-20,NSE:UBL,large_cap,LONG,0.03979180427892411,2024-12-20 11:00:00,2024-12-20 11:05:00,2040.0,2019.6,2060.4,2080.8,False,2024-12-20 14:00:00,2019.6,stop,20.40000000000009,49,-999.6000000000045,82.37971648240001,-1081.9797164824045
2024-12-24,NSE:UBL,large_cap,LONG,0.053789197825488584,2024-12-24 11:00:00,2024-12-24 11:05:00,2032.3,2011.9769999999999,2052.623,2072.946,True,2024-12-24 15:10:00,2055.6980000000003,time_stop,20.323000000000093,49,1146.5020000000056,106.57306181421202,1039.9289381857936
2023-04-06,NSE:ULTRACEMCO,large_cap,LONG,0.06821991532543678,2023-04-06 11:00:00,2023-04-06 11:05:00,7701.8,7624.782,7778.818,7855.836,False,2023-04-06 15:10:00,7695.05,time_stop,77.01800000000003,12,-81.0,79.96901285319998,-160.96901285319998
2023-04-24,NSE:ULTRACEMCO,large_cap,SHORT,1.0,2023-04-24 11:00:00,2023-04-24 11:05:00,7332.05,7405.3705,7258.7295,7185.409000000001,False,2023-04-24 13:45:00,7405.3705,stop,73.32049999999981,13,-953.1664999999975,81.083740360899,-1034.2502403608964
2023-05-08,NSE:ULTRACEMCO,large_cap,LONG,0.0,2023-05-08 11:00:00,2023-05-08 11:05:00,7718.0,7640.82,7795.18,7872.360000000001,False,2023-05-08 15:10:00,7739.9,time_stop,77.18000000000029,12,262.79999999999563,80.1367984888,182.66320151119564
2023-05-11,NSE:ULTRACEMCO,large_cap,LONG,0.12308763873579397,2023-05-11 11:00:00,2023-05-11 11:05:00,7800.85,7722.8415,7878.8585,7956.867,False,2023-05-11 15:10:00,7839.8,time_stop,78.00849999999991,12,467.3999999999978,80.5483558468,386.8516441531978
2023-05-15,NSE:ULTRACEMCO,large_cap,LONG,0.19551512100118232,2023-05-15 11:00:00,2023-05-15 11:05:00,7754.0,7676.46,7831.54,7909.08,False,2023-05-15 15:10:00,7760.1,time_stop,77.53999999999996,12,73.20000000000437,80.23558509519998,-7.035585095195614
2023-05-22,NSE:ULTRACEMCO,large_cap,LONG,0.12606320313386307,2023-05-22 11:00:00,2023-05-22 11:05:00,7726.0,7648.74,7803.26,7880.52,False,2023-05-22 15:10:00,7724.1,time_stop,77.26000000000022,12,-22.799999999995634,80.08877728720002,-102.88877728719565
2023-05-23,NSE:ULTRACEMCO,large_cap,LONG,0.12606320313386307,2023-05-23 11:00:00,2023-05-23 11:05:00,7739.5,7662.105,7816.895,7894.290000000001,False,2023-05-23 12:30:00,7662.105,stop,77.39500000000044,12,-928.7400000000052,79.88588423956,-1008.6258842395653
2023-05-29,NSE:ULTRACEMCO,large_cap,LONG,0.08858042651014571,2023-05-29 11:00:00,2023-05-29 11:05:00,7796.95,7718.9805,7874.9195,7952.889,False,2023-05-29 15:10:00,7838.0,time_stop,77.96950000000015,12,492.6000000000022,80.53899327639999,412.0610067236022
2023-06-05,NSE:ULTRACEMCO,large_cap,LONG,0.12549882977800808,2023-06-05 11:00:00,2023-06-05 11:05:00,7913.65,7834.5135,7992.786499999999,8071.922999999999,False,2023-06-05 15:10:00,7883.95,time_stop,79.13649999999961,12,-356.3999999999978,80.79186430719999,-437.1918643071978
2023-06-27,NSE:ULTRACEMCO,large_cap,SHORT,1.0,2023-06-27 11:00:00,2023-06-27 11:05:00,8198.95,8280.9395,8116.960500000001,8034.971000000001,False,2023-06-27 15:10:00,8207.1,time_stop,81.98949999999968,12,-97.79999999999563,82.11562247560002,-179.91562247559565
2023-07-10,NSE:ULTRACEMCO,large_cap,LONG,0.12437173623660819,2023-07-10 11:00:00,2023-07-10 11:05:00,8430.0,8345.7,8514.3,8598.599999999999,False,2023-07-10 14:55:00,8345.7,stop,84.29999999999927,11,-927.299999999992,79.83520517620003,-1007.135205176192
2023-07-12,NSE:ULTRACEMCO,large_cap,LONG,0.15771148398239024,2023-07-12 11:00:00,2023-07-12 11:05:00,8227.95,8145.670500000001,8310.229500000001,8392.509,False,2023-07-12 15:10:00,8213.7,time_stop,82.27949999999964,12,-171.0,82.18335831879999,-253.1833583188
2023-07-13,NSE:ULTRACEMCO,large_cap,LONG,0.16904156086716007,2023-07-13 11:00:00,2023-07-13 11:05:00,8338.9,8255.511,8422.288999999999,8505.677999999998,False,2023-07-13 14:10:00,8255.511,stop,83.38899999999921,11,-917.2789999999914,79.482528166526,-996.7615281665173
2023-07-31,NSE:ULTRACEMCO,large_cap,LONG,0.06630350948999422,2023-07-31 11:00:00,2023-07-31 11:05:00,8380.3,8296.497,8464.103,8547.905999999999,False,2023-07-31 15:10:00,8320.0,time_stop,83.80299999999988,11,-663.299999999992,79.71710463980001,-743.017104639792
2023-08-21,NSE:ULTRACEMCO,large_cap,LONG,0.040648710700328675,2023-08-21 11:00:00,2023-08-21 11:05:00,8269.5,8186.805,8352.195,8434.89,False,2023-08-21 15:10:00,8221.0,time_stop,82.69499999999971,12,-582.0,82.24214371599999,-664.242143716
2023-08-30,NSE:ULTRACEMCO,large_cap,LONG,0.06546786805691833,2023-08-30 11:00:00,2023-08-30 11:05:00,8290.6,8207.694,8373.506000000001,8456.412000000002,False,2023-08-30 15:10:00,8265.05,time_stop,82.90600000000086,12,-306.6000000000131,82.4111337268,-389.0111337268131
2023-09-04,NSE:ULTRACEMCO,large_cap,LONG,0.05640417476238801,2023-09-04 11:00:00,2023-09-04 11:05:00,8529.4,8444.106,8614.694,8699.988,False,2023-09-04 15:10:00,8584.75,time_stop,85.29399999999987,11,608.850000000004,80.66465534390001,528.185344656104
2023-09-14,NSE:ULTRACEMCO,large_cap,LONG,0.07959417989267996,2023-09-14 11:00:00,2023-09-14 11:05:00,8651.95,8565.4305,8738.469500000001,8824.989000000001,False,2023-09-14 15:10:00,8696.35,time_stop,86.51950000000033,11,488.399999999996,81.10834160779999,407.29165839219604
