T0_session_date,sector,leader_symbol,laggard_symbol,leader_cap,laggard_cap,spread_at_entry_bps,spread_at_exit_bps,leader_entry_price,leader_exit_price,leader_qty,leader_realized_pnl,leader_fee,laggard_entry_price,laggard_exit_price,laggard_qty,laggard_realized_pnl,laggard_fee,fee_total,realized_pnl,net_pnl,exit_ts,exit_reason,hit_t1,yyyymm
2024-01-01,NSE_NIFTY_REALTY,NSE:LODHA,NSE:PHOENIXLTD,large_cap,large_cap,237.6077586206904,224.2610837438419,1033.0,1035.95,48,-141.60000000000218,52.75814129759999,1113.25,1118.0,44,209.0,52.193774049999995,104.95191534759999,67.39999999999782,-37.551915347602176,2024-01-01 14:30:00,hard_time,False,2024-01
2024-01-03,NSE_NIFTY_REALTY,NSE:PHOENIXLTD,NSE:SIGNATURE,large_cap,mid_cap,172.6760311353659,157.27214664967624,1136.2,1143.0172,44,-299.9567999999981,53.259351348860804,932.7,938.0,53,280.8999999999976,52.71826282260001,105.97761417146081,-19.05680000000052,-125.03441417146134,2024-01-03 12:15:00,stop_leader_short,False,2024-01
2024-01-04,NSE_NIFTY_REALTY,NSE:SIGNATURE,NSE:PHOENIXLTD,mid_cap,large_cap,429.00014427932564,438.1396623863809,1004.1,1010.1246,49,-295.20539999999824,52.4157082575924,1168.4,1174.85,42,270.89999999999236,52.32891759899999,104.74462585659239,-24.305400000005875,-129.05002585659827,2024-01-04 14:10:00,stop_leader_short,False,2024-01
2024-01-08,NSE_NIFTY_REALTY,NSE:SIGNATURE,NSE:OBEROIRLTY,mid_cap,large_cap,187.9943873506229,194.20987809438572,1088.9,1083.15,45,258.75,51.96928060350001,1515.9,1506.8046000000002,32,-291.05279999999766,51.36905173336319,103.3383323368632,-32.30279999999766,-135.64113233686086,2024-01-08 11:15:00,stop_laggard_long,False,2024-01
2024-01-10,NSE_NIFTY_REALTY,NSE:SIGNATURE,NSE:OBEROIRLTY,mid_cap,large_cap,215.77018660432046,119.57772293660018,1127.1,1123.0,44,180.399999999996,52.63137618639999,1509.45,1518.65,33,303.6000000000015,53.13536278379999,105.76673897019998,483.9999999999975,378.2332610297975,2024-01-10 14:30:00,hard_time,False,2024-01
2024-01-11,NSE_NIFTY_REALTY,NSE:OBEROIRLTY,NSE:SIGNATURE,large_cap,mid_cap,159.95088544810355,212.63751759097448,1543.3,1552.5598,32,-296.3136000000013,52.612476636121585,1126.05,1127.0,44,41.800000000002,52.685106685200005,105.29758332132158,-254.51359999999931,-359.81118332132087,2024-01-11 12:00:00,stop_leader_short,False,2024-01
2024-01-12,NSE_NIFTY_REALTY,NSE:PHOENIXLTD,NSE:SIGNATURE,large_cap,mid_cap,146.78163614247896,213.38573393693937,1240.4,1247.8424,40,-297.6959999999963,52.85793107257598,1127.25,1126.5,44,-33.0,52.693245989999994,105.55117706257597,-330.6959999999963,-436.24717706257223,2024-01-12 11:50:00,stop_leader_short,False,2024-01
2024-01-15,NSE_NIFTY_REALTY,NSE:OBEROIRLTY,NSE:SIGNATURE,large_cap,mid_cap,95.3687624764732,146.53481120218137,1572.85,1582.2871,31,-292.5501000000031,51.9442418476406,1136.0,1137.0,44,44.0,53.15181687199999,105.09605871964058,-248.5501000000031,-353.6461587196437,2024-01-15 12:25:00,stop_leader_short,False,2024-01
2024-01-20,NSE_NIFTY_REALTY,NSE:SOBHA,NSE:ANANTRAJ,mid_cap,large_cap,436.6032823378097,385.29981974736114,1461.7,1448.6,34,445.40000000000464,52.6317239812,319.95,318.6,156,-210.59999999999468,52.91220500279999,105.54392898399999,234.80000000000996,129.25607101600997,2024-01-20 14:30:00,hard_time,False,2024-01
2024-01-23,NSE_NIFTY_REALTY,NSE:ANANTRAJ,NSE:SOBHA,large_cap,mid_cap,450.81872794573206,489.0530358324441,313.65,315.53189999999995,159,-299.22209999999575,53.128900412472596,1358.25,1360.65,36,86.40000000000327,52.02373584240001,105.1526362548726,-212.82209999999247,-317.9747362548651,2024-01-23 11:05:00,stop_leader_short,False,2024-01
2024-01-24,NSE_NIFTY_REALTY,NSE:SIGNATURE,NSE:OBEROIRLTY,mid_cap,large_cap,409.48742596301327,471.7259969027299,1105.2,1105.75,45,-24.749999999997954,52.868321806500006,1303.25,1295.4305,38,-297.14100000000235,52.44358206175401,105.311903868254,-321.8910000000003,-427.20290386825434,2024-01-24 11:20:00,stop_laggard_long,False,2024-01
2024-01-30,NSE_NIFTY_REALTY,NSE:SOBHA,NSE:OBEROIRLTY,mid_cap,large_cap,247.4327744331095,311.40221956455827,1362.65,1370.8259,36,-294.3323999999984,52.2607012241544,1308.0,1307.6,38,-15.200000000003456,52.816258276799985,105.07695950095439,-309.53240000000187,-414.60935950095626,2024-01-30 11:15:00,stop_leader_short,False,2024-01
2024-01-31,NSE_NIFTY_REALTY,NSE:OBEROIRLTY,NSE:SOBHA,large_cap,mid_cap,230.73739963845986,9.426353762882478,1315.0,1321.92,38,-262.96000000000276,53.219528561759994,1348.1,1387.1837837837836,37,1446.1000000000008,53.94028093299999,107.15980949475998,1183.139999999998,1075.9801905052382,2024-01-31 13:35:00,stop_leader_short,True,2024-01
2024-02-01,NSE_NIFTY_REALTY,NSE:OBEROIRLTY,NSE:SOBHA,large_cap,mid_cap,99.29589286720386,86.0987738095409,1313.3,1303.9,38,357.1999999999948,52.88953176159999,1385.35,1377.0378999999998,36,-299.2356000000036,52.81326624194639,105.70279800354638,57.9643999999912,-47.738398003555176,2024-02-01 11:15:00,stop_laggard_long,False,2024-02
2024-02-06,NSE_NIFTY_REALTY,NSE:OBEROIRLTY,NSE:SIGNATURE,large_cap,mid_cap,400.1992674762445,425.6456816623888,1326.4,1334.3584,37,-294.4607999999994,52.28349950948481,1201.1,1206.25,41,211.15000000000373,52.4737160981,104.75721560758481,-83.31079999999565,-188.06801560758046,2024-02-06 12:20:00,stop_leader_short,False,2024-02
2024-02-07,NSE_NIFTY_REALTY,NSE:SIGNATURE,NSE:OBEROIRLTY,mid_cap,large_cap,121.10497028935852,206.2179170148537,1232.0,1235.0,40,-120.0,52.42594408,1325.0,1317.05,37,-294.1500000000017,51.9156887251,104.3416328051,-414.1500000000017,-518.4916328051017,2024-02-07 11:10:00,stop_laggard_long,False,2024-02
2024-02-08,NSE_NIFTY_REALTY,NSE:SOBHA,NSE:OBEROIRLTY,mid_cap,large_cap,135.535084131031,114.66211279935746,1387.0,1395.3220000000001,36,-299.5920000000042,53.19457865035199,1324.85,1334.75,37,366.30000000000337,52.333406711200006,105.527985361552,66.70799999999917,-38.819985361552824,2024-02-08 12:00:00,stop_leader_short,False,2024-02
2024-02-09,NSE_NIFTY_REALTY,NSE:SIGNATURE,NSE:OBEROIRLTY,mid_cap,large_cap,142.1722309035922,-14.554589114706973,1289.9,1290.3,38,-15.199999999994816,52.10141092560001,1316.6,1338.162162162162,37,797.8000000000034,52.285750037199996,104.38716096280001,782.6000000000085,678.2128390372086,2024-02-09 14:30:00,t1_hard_time,True,2024-02
2024-02-12,NSE_NIFTY_REALTY,NSE:SIGNATURE,NSE:OBEROIRLTY,mid_cap,large_cap,133.11336218575943,206.3103913263653,1321.9,1323.25,37,-49.949999999996635,52.0035029933,1331.45,1323.4613,37,-295.581900000004,52.168410379648606,104.17191337294861,-345.53190000000063,-449.70381337294924,2024-02-12 11:45:00,stop_laggard_long,False,2024-02
2024-02-13,NSE_NIFTY_REALTY,NSE:SIGNATURE,NSE:PRESTIGE,mid_cap,large_cap,185.39450085629073,225.1945871596761,1329.0,1336.974,37,-295.0379999999975,52.38598525942799,1143.8,1145.85,43,88.14999999999804,52.32924765969999,104.71523291912797,-206.88799999999947,-311.60323291912744,2024-02-13 13:10:00,stop_leader_short,False,2024-02
2024-02-14,NSE_NIFTY_REALTY,NSE:PRESTIGE,NSE:SIGNATURE,large_cap,mid_cap,362.51603985650416,290.7610782773484,1103.85,1100.05,45,170.99999999999795,52.721265753,1354.25,1361.55,36,262.79999999999836,51.98383493279998,104.70510068579998,433.7999999999963,329.09489931419637,2024-02-14 14:30:00,hard_time,False,2024-02
2024-02-15,NSE_NIFTY_REALTY,NSE:SIGNATURE,NSE:PRESTIGE,mid_cap,large_cap,83.9727985323524,137.15050799972929,1373.0,1372.15,36,30.599999999996726,52.5197765124,1124.1,1117.3554,44,-296.7623999999996,52.37676146086558,104.89653797326558,-266.1624000000029,-371.0589379732685,2024-02-15 11:05:00,stop_laggard_long,False,2024-02
