variant,recalc_date,regime,quarter,session_date,T1_entry_date,symbol,bare_symbol,cap_segment,side,entry_ts,entry_price,day_high_so_far,hard_sl,t1_target,t2_target,stop_distance,hit_t1,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl,lane,exit_date,pct_drift
swing,2024-01-01,pre_rule,Q4_2023,2024-01-02,2024-01-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,,1029.0,,,,,20.580000000000002,False,,1291.7,t+5_close,48,-12609.600000000002,57.808171401600006,-12667.408171401603,primary,2024-01-09,-20.337539676395455
swing,2024-04-01,pre_rule,Q1_2024,2024-04-02,2024-04-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,,1344.0,,,,,26.88,False,,1355.75,t+5_close,37,-434.75,53.0347213945,-487.7847213945,primary,2024-04-09,-0.8666789599852454
swing,2024-04-01,pre_rule,Q1_2024,2024-04-02,2024-04-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,,203.0,,,,,4.0600000000000005,False,,223.4,t+5_close,246,-5018.4000000000015,55.189489526399996,-5073.589489526402,primary,2024-04-09,-9.13160250671442
swing,2024-04-01,pre_rule,Q1_2024,2024-04-02,2024-04-02,NSE:MGL,MGL,mid_cap,SHORT,,1398.85,,,,,27.977,False,,1456.4,t+5_close,35,-2014.2500000000064,52.88382685249999,-2067.1338268525064,primary,2024-04-09,-3.951524306509213
swing,2024-04-01,pre_rule,Q1_2024,2024-04-02,2024-04-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,,1534.0,,,,,30.68,False,,1600.7,t+5_close,32,-2134.4000000000015,53.07076442239999,-2187.4707644224013,primary,2024-04-09,-4.166926969450868
swing,2024-07-01,pre_rule,Q2_2024,2024-07-02,2024-07-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,,1430.0,,,,,28.6,False,,1547.1,t+5_close,34,-3981.399999999997,53.3517052884,-4034.751705288397,primary,2024-07-09,-7.569000064637055
swing,2024-07-01,pre_rule,Q2_2024,2024-07-02,2024-07-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,,218.0,,,,,4.36,False,,250.4,t+5_close,229,-7419.600000000001,56.184364621600004,-7475.7843646216015,primary,2024-07-09,-12.939297124600646
swing,2024-07-01,pre_rule,Q2_2024,2024-07-02,2024-07-02,NSE:MGL,MGL,mid_cap,SHORT,,1760.05,,,,,35.201,False,,1664.25,t+5_close,28,2682.3999999999987,51.24648384239999,2631.153516157599,primary,2024-07-09,5.75634670271894
swing,2024-07-01,pre_rule,Q2_2024,2024-07-02,2024-07-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,,1908.95,,,,,38.179,False,,2008.55,t+5_close,26,-2589.5999999999976,53.841502129999995,-2643.441502129998,primary,2024-07-09,-4.9588011251898045
swing,2024-10-01,pre_rule,Q3_2024,2024-10-03,2024-10-03,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,,1591.0,,,,,31.82,False,,1509.85,t+5_close,31,2515.650000000003,51.3588406481,2464.291159351903,primary,2024-10-10,5.374706096632131
swing,2024-10-01,pre_rule,Q3_2024,2024-10-03,2024-10-03,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,,241.67,,,,,4.8334,False,,228.11,t+5_close,206,2793.3599999999947,51.733915200080006,2741.6260847999147,primary,2024-10-10,5.944500460304236
swing,2024-10-01,pre_rule,Q3_2024,2024-10-03,2024-10-03,NSE:MGL,MGL,mid_cap,SHORT,,1899.1,,,,,37.982,False,,1869.5,t+5_close,26,769.5999999999976,52.153728941599994,717.4462710583977,primary,2024-10-10,1.5833110457341482
swing,2024-10-01,pre_rule,Q3_2024,2024-10-03,2024-10-03,NSE:SOBHA,SOBHA,mid_cap,SHORT,,1838.1,,,,,36.762,False,,1701.55,t+5_close,27,3686.8499999999985,51.1923171933,3635.6576828066986,primary,2024-10-10,8.025035996591345
swing,2025-01-01,pre_rule,Q4_2024,2025-01-02,2025-01-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,,1362.0,,,,,27.240000000000002,False,,1308.7,t+5_close,36,1918.7999999999984,51.3032041512,1867.4967958487985,primary,2025-01-09,4.07274394437227
swing,2025-01-01,pre_rule,Q4_2024,2025-01-02,2025-01-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,,204.5,,,,,4.09,False,,198.34,t+5_close,244,1503.039999999999,52.398803101759995,1450.641196898239,primary,2025-01-09,3.105777957043454
swing,2025-01-01,pre_rule,Q4_2024,2025-01-02,2025-01-02,NSE:MGL,MGL,mid_cap,SHORT,,1281.75,,,,,25.635,False,,1270.65,t+5_close,39,432.89999999999645,52.94568530159999,379.95431469839644,primary,2025-01-09,0.8735686459685921
swing,2025-01-01,pre_rule,Q4_2024,2025-01-02,2025-01-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,,1580.0,,,,,31.6,False,,1383.55,t+5_close,31,6089.950000000002,49.49019029029999,6040.459809709701,primary,2025-01-09,14.19898088251239
swing,2025-04-01,pre_rule,Q1_2025,2025-04-02,2025-04-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,,1075.0,,,,,21.5,False,,1069.5,t+5_close,46,253.0,52.449437681999996,200.550562318,primary,2025-04-09,0.514258999532502
swing,2025-04-01,pre_rule,Q1_2025,2025-04-02,2025-04-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,,207.7,,,,,4.154,False,,196.16,t+5_close,240,2769.599999999998,51.8119265184,2717.788073481598,primary,2025-04-09,5.8829526916802655
swing,2025-04-01,pre_rule,Q1_2025,2025-04-02,2025-04-02,NSE:MGL,MGL,mid_cap,SHORT,,1385.8,,,,,27.716,False,,1244.7,t+5_close,36,5079.599999999997,50.881841388000005,5028.718158611997,primary,2025-04-09,11.336064915240618
swing,2025-04-01,pre_rule,Q1_2025,2025-04-02,2025-04-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,,1195.5,,,,,23.91,False,,1108.85,t+5_close,41,3552.6500000000037,50.597153560100004,3502.0528464399035,primary,2025-04-09,7.8144023086982095
swing,2025-07-01,pre_rule,Q2_2025,2025-07-02,2025-07-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,,1248.4,,,,,24.968000000000004,False,,1247.1,t+5_close,40,52.000000000007276,53.050666920000005,-1.0506669199927288,primary,2025-07-09,0.1042418410712953
swing,2025-07-01,pre_rule,Q2_2025,2025-07-02,2025-07-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,,225.7,,,,,4.514,False,,223.25,t+5_close,221,541.4499999999975,52.784573437700004,488.6654265622975,primary,2025-07-09,1.0974244120940613
swing,2025-07-01,pre_rule,Q2_2025,2025-07-02,2025-07-02,NSE:MGL,MGL,mid_cap,SHORT,,1494.2,,,,,29.884,False,,1488.7,t+5_close,33,181.5,52.3292865942,129.1707134058,primary,2025-07-09,0.36944985557869625
swing,2025-07-01,pre_rule,Q2_2025,2025-07-02,2025-07-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,,1498.9,,,,,29.978,False,,1507.0,t+5_close,33,-267.299999999997,52.6832557482,-319.983255748197,primary,2025-07-09,-0.5374917053749151
swing,2025-10-01,rule_launch,Q3_2025,2025-10-03,2025-10-03,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,,1049.0,,,,,20.98,False,,1030.2,t+5_close,47,883.5999999999979,52.0274656944,831.5725343055979,primary,2025-10-10,1.8248883711900588
swing,2025-10-01,rule_launch,Q3_2025,2025-10-03,2025-10-03,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,,201.5,,,,,4.03,False,,200.51,t+5_close,248,245.52000000000226,53.007377662879996,192.51262233712225,primary,2025-10-10,0.4937409605505927
swing,2025-10-01,rule_launch,Q3_2025,2025-10-03,2025-10-03,NSE:MGL,MGL,mid_cap,SHORT,,1281.0,,,,,25.62,False,,1294.9,t+5_close,39,-542.1000000000035,53.3254689006,-595.4254689006035,primary,2025-10-10,-1.0734419646304838
