T0_signal_date,symbol,cap_segment,side,side_total_cr,total_qty,t0_volume,vol_ratio_pct,client_names,entry_hhmm,entry_ts,entry_price,hard_sl,stop_distance,t1_target,t2_target,hit_t1,t1_exit_price,t1_exit_ts,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2024-06-28,NSE:SOLARA,small_cap,SHORT,99.0,2000000,767712,260.5143595514985,TPG GROWTH IV SF PTE LTD,14:30,2024-06-28 14:30:00,544.9,547.6244999999999,2.724499999999921,543.2653,542.1754999999999,False,,,2024-06-28 15:25:00,544.9,time_stop,367,0.0,118.15470057959999,-118.15470057959999
2024-03-22,NSE:SOTL,small_cap,SHORT,84.5784,2073000,151995,1363.8606533109642,MEHRA SYNDICATE,14:30,2024-03-22 14:30:00,415.0,417.07499999999993,2.074999999999932,413.755,412.925,True,413.755,2024-03-22 15:00:00,2024-03-22 15:05:00,413.3391372141372,t2,481,798.8749999999984,165.17194841174995,633.7030515882484
2023-08-28,NSE:STAR,mid_cap,SHORT,10.074,230000,260060,88.44112897023764,SHASUN ENTERPRISES LLP,14:30,2023-08-28 14:30:00,438.15,440.34074999999996,2.19074999999998,436.83554999999996,435.95925,True,436.83554999999996,2023-08-28 15:20:00,2023-08-28 15:20:00,436.3974,t2,456,799.1856000000005,165.23629037224637,633.9493096277541
2024-12-27,NSE:STARCEMENT,mid_cap,SHORT,765.6802,33626714,13410671,250.7459470148809,RAHUL CHAMARIA / RAJENDRA CHAMARIA / RENU CHAMARIA / SACHIN CHAMARIA,14:30,2024-12-27 14:30:00,235.51,236.68754999999996,1.1775499999999681,234.80347,234.33245,False,,,2024-12-27 14:35:00,236.68754999999996,stop,849,-999.739949999973,118.21133469894971,-1117.9512846989228
2024-09-03,NSE:SULA,small_cap,SHORT,11.1356,228235,231024,98.79276611953736,MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,14:30,2024-09-03 14:30:00,486.0,488.42999999999995,2.42999999999995,484.542,483.57,False,,,2024-09-03 15:25:00,486.9,time_stop,411,-369.89999999999065,118.09721123140001,-487.9972112313907
2023-06-23,NSE:SWSOLAR,mid_cap,SHORT,103.3375,3500000,3432875,101.95535811819538,SHAPOORJI PALLONJI AND COMPANY PRIVATE LIMITED,14:30,2023-06-23 14:30:00,292.0,293.46,1.4599999999999795,291.124,290.54,True,291.124,2023-06-23 14:50:00,2023-06-23 14:55:00,291.562,breakeven_trail,684,299.5919999999919,165.24569683764798,134.34630316234393
2023-06-30,NSE:SYRMA,mid_cap,SHORT,128.0939,2917857,1130462,258.11190469029475,SOUTH ASIA GROWTH FUND II HOLDINGS LLC,14:30,2023-06-30 14:30:00,445.85,448.07925,2.229249999999979,444.51245,443.62075000000004,True,444.51245,2023-06-30 14:40:00,2023-06-30 14:40:00,444.0666,t2,448,798.9632000000001,165.21657781614078,633.7466221838594
2023-08-16,NSE:SYRMA,mid_cap,SHORT,16.4809,350470,907769,38.607839659649095,AYUSH AMIT JATIA,14:30,2023-08-16 14:30:00,450.4,452.65199999999993,2.2519999999999527,449.04879999999997,448.14799999999997,False,,,2023-08-16 14:40:00,452.65199999999993,stop,444,-999.887999999979,118.22185066172798,-1118.109850661707
2023-08-17,NSE:SYRMA,mid_cap,SHORT,16.4213,350470,571711,61.301951510465955,AYUSH AMIT JATIA,14:30,2023-08-17 14:30:00,462.0,464.30999999999995,2.3099999999999454,460.614,459.69,True,460.614,2023-08-17 15:20:00,2023-08-17 15:20:00,460.152,t2,432,798.3360000000057,165.160985571584,633.1750144284217
2024-10-14,NSE:TARIL,mid_cap,SHORT,210.681,2700000,3929772,68.70627608929983,JITENDRA MAMTORA,14:30,2024-10-14 14:30:00,409.65,411.6982499999999,2.048249999999939,408.42105,407.60175,False,,,2024-10-14 15:25:00,409.65,time_stop,488,0.0,118.1301830704,-118.1301830704
2023-06-30,NSE:TDPOWERSYS,mid_cap,SHORT,832.7275,37679980,7216893,522.1080595209046,CHARTERED CAPITAL AND INVESTMENT LTD / HITOSHI MATSUO / LAVANYA  SANKARAN / MOHIB NOMANBHAI KHERICHA / NIKHIL  KUMAR / SAPHIRE FINMAN SERVICES LLP / SOFIA MOHIB KHERICHA,14:30,2023-06-30 14:30:00,246.95,248.18474999999995,1.2347499999999627,246.20915,245.71525,False,,,2023-06-30 14:35:00,248.18474999999995,stop,809,-998.9127499999698,118.15257884342651,-1117.0653288433964
2024-02-20,NSE:TFCILTD,small_cap,SHORT,247.5489,11802094,3186265,370.40528644039335,KOPPARA SAJEEVE THOMAS / PRANSATREE HOLDINGS PTE. LIMITED / VARANIUM CAPITAL ADVISORS PRIVATE LIMITED / VARANIUM INDIA OPPORTUNITY LTD,14:30,2024-02-20 14:30:00,44.05,44.27024999999999,0.22024999999999295,43.917849999999994,43.82975,False,,,2024-02-20 15:25:00,44.05,time_stop,4540,0.0,118.157787444,-118.157787444
2024-09-03,NSE:TFCILTD,small_cap,SHORT,19.624,1100000,1625220,67.68314443583023,CONNECOR INVESTMENT ENTERPRISE LIMITED .,14:30,2024-09-03 14:30:00,35.8,35.97899999999999,0.17899999999999494,35.6926,35.620999999999995,True,35.6926,2024-09-03 14:35:00,2024-09-03 14:35:00,35.6568,t2,5586,799.9152000000012,165.3009589016288,634.6142410983723
2023-11-10,NSE:THEINVEST,small_cap,SHORT,19.7613,2154990,8267,26067.37631547115,HYPNOS FUND LIMITED,14:30,2023-11-10 14:30:00,92.15,92.61075,0.4607499999999902,91.87355000000001,91.68925,True,91.87355000000001,2023-11-10 14:35:00,2023-11-10 14:45:00,91.78140000000002,t2,2170,799.8620000000016,165.29624348802798,634.5657565119736
