dims,k,cell,n,pf,wr,net,sharpe,n_months,win_mo_pct,lose_mo_pct,top_mo_pct
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Aug | entry_hour_bucket=10:00,1823,0.9851814329443549,51.89248491497531,-12281.884023967275,-0.03310682123174724,2,0.0,100.0,87.9
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Aug | entry_hour_bucket=11:00,658,0.5450489439123378,39.05775075987842,-169805.2533568539,-0.6900627808270063,2,0.0,100.0,54.7
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Aug | entry_hour_bucket=12:00,268,0.6509695627321789,42.91044776119403,-46188.33734336881,-0.3040397529865025,2,0.0,100.0,76.3
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Aug | entry_hour_bucket=13:00,172,0.6889563125580936,43.02325581395349,-23843.686095924964,-0.2825811112789751,2,0.0,100.0,74.5
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Aug | entry_hour_bucket=14:00,185,0.4485537607667273,34.054054054054056,-44570.90267923139,-0.5981436138787131,2,0.0,100.0,67.4
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Aug | entry_hour_bucket=15:00,33,1.4245115896237892,45.45454545454545,2299.741714384439,0.128860479532979,2,100.0,0.0,96.6
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Dec | entry_hour_bucket=09:00,3451,0.837309954422136,48.797450014488554,-265492.6737978428,-0.2401097243311623,2,50.0,50.0,110.5
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Dec | entry_hour_bucket=10:00,1766,0.7349829671971612,45.80973952434881,-237329.85198171082,-0.6034607339776903,2,0.0,100.0,64.8
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Dec | entry_hour_bucket=11:00,517,0.7163020000377871,46.61508704061896,-72166.72063753191,-0.5635282640053444,2,0.0,100.0,61.6
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Dec | entry_hour_bucket=12:00,286,0.7608849060169546,43.70629370629371,-32263.76841490669,-0.28231851583597806,2,0.0,100.0,92.9
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Dec | entry_hour_bucket=13:00,192,0.5968926459927311,38.02083333333333,-36457.71462343114,-0.29275394928951104,2,0.0,100.0,75.1
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Dec | entry_hour_bucket=14:00,184,0.7233338124429841,41.84782608695652,-18989.75690445434,-0.32790840975757896,2,0.0,100.0,71.8
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Dec | entry_hour_bucket=15:00,35,0.5490285971720372,34.285714285714285,-3844.6755517419515,-0.23254716354381408,2,50.0,50.0,105.7
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Feb | entry_hour_bucket=09:00,3146,1.1447518129534753,54.45009535918627,193528.9649940129,0.21757205573838534,2,100.0,0.0,81.3
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Feb | entry_hour_bucket=10:00,1812,0.8622386271485812,49.77924944812362,-120961.90543045237,-0.3114133249954396,2,0.0,100.0,57.3
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Feb | entry_hour_bucket=11:00,621,0.7287647021583705,45.088566827697264,-83888.71261636654,-0.4384978394807028,2,0.0,100.0,54.0
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Feb | entry_hour_bucket=12:00,338,0.7021357036824893,43.49112426035503,-49929.71219322834,-0.3733573803631615,2,0.0,100.0,56.8
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Feb | entry_hour_bucket=13:00,224,0.5100407394786157,34.82142857142857,-56816.60837935646,-0.45705659347318117,2,0.0,100.0,63.3
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Feb | entry_hour_bucket=14:00,211,0.4026896747430092,35.54502369668246,-55791.81311630843,-0.6938024039166653,2,0.0,100.0,65.1
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Feb | entry_hour_bucket=15:00,52,1.2289468787321773,46.15384615384615,2408.7016793119874,0.08904743162694194,2,100.0,0.0,92.5
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Jan | entry_hour_bucket=09:00,2677,0.9883974772163024,51.73701905117669,-13846.764354263316,-0.027093746055876933,2,50.0,50.0,521.4
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Jan | entry_hour_bucket=10:00,1587,0.8601189905758916,49.21235034656585,-108133.31781966629,-0.2058608464339968,2,0.0,100.0,69.8
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Jan | entry_hour_bucket=11:00,470,0.8200884344843601,46.170212765957444,-42038.94224936215,-0.24834736479054081,2,0.0,100.0,95.0
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Jan | entry_hour_bucket=12:00,291,0.6858730457942377,42.2680412371134,-46056.03866015982,-0.35096992880045325,2,0.0,100.0,74.6
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Jan | entry_hour_bucket=13:00,194,0.6003679683122524,41.23711340206185,-36343.465103049704,-0.4766144372462092,2,0.0,100.0,59.4
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Jan | entry_hour_bucket=14:00,187,0.8296821300739848,47.05882352941176,-10306.603654048196,-0.1896577486358476,2,0.0,100.0,60.1
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Jan | entry_hour_bucket=15:00,43,0.5437054845332315,34.883720930232556,-4712.990724447324,-0.2446448125509409,2,50.0,50.0,129.4
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Jul | entry_hour_bucket=09:00,3123,0.9873435746115633,51.681075888568685,-17584.310207472547,-0.025441486250364267,2,50.0,50.0,269.8
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Jul | entry_hour_bucket=10:00,1787,0.768566320638603,46.72635702294348,-202944.1246690987,-0.568749790237747,2,0.0,100.0,75.2
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Jul | entry_hour_bucket=11:00,567,0.7450522972946267,45.67901234567901,-71969.04139653497,-0.5101532599128956,2,0.0,100.0,52.0
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Jul | entry_hour_bucket=12:00,305,0.8732235023904109,48.85245901639344,-17060.34622550772,-0.1586724799769724,2,0.0,100.0,72.6
