dims,k,cell,n,pf,wr,net,sharpe,n_months,win_mo_pct,lose_mo_pct,top_mo_pct
"cap_segment,tod_bucket,month",3,cap_segment=small_cap | tod_bucket=morning | month=Jun,1663,1.248995178130708,58.56885147324113,130224.24569258664,0.3213885329826688,1,100.0,0.0,100.0
"tod_bucket,dow,month",3,tod_bucket=morning | dow=Thu | month=May,798,1.2488663686757822,53.88471177944862,71911.06624226063,0.2690771416830571,1,100.0,0.0,100.0
"cap_segment,rsi_severity_fine,R_size_bucket",3,cap_segment=small_cap | rsi_severity_fine=S80-85 | R_size_bucket=3%+,668,1.2487381158827635,58.982035928143716,38651.302318578026,0.14452828978819915,13,76.9,23.1,35.2
"cap_segment,R_size_bucket",2,cap_segment=mid_cap | R_size_bucket=3%+,1906,1.247957658427203,57.03043022035676,97139.02386505157,0.10799907380380186,13,100.0,0.0,42.3
"cap_segment,R_size_bucket,confirmation_lag_min",3,cap_segment=mid_cap | R_size_bucket=3%+ | confirmation_lag_min=<=15,1906,1.247957658427203,57.03043022035676,97139.02386505157,0.10799907380380186,13,100.0,0.0,42.3
"cap_segment,R_size_bucket,month",3,cap_segment=large_cap | R_size_bucket=2-3% | month=Apr,210,1.2468671744246742,57.14285714285714,12115.700765899132,0.11399774611933407,1,100.0,0.0,100.0
"rsi_severity_fine,R_size_bucket,dow",3,rsi_severity_fine=L20-25 | R_size_bucket=2-3% | dow=Wed,417,1.2468159391631988,52.038369304556355,30757.765223024973,0.07258217563983911,13,30.8,69.2,141.1
"direction,R_size_bucket,quarter",3,direction=short | R_size_bucket=2-3% | quarter=Q1,1579,1.2466204479854128,57.1247625079164,118022.80696243857,0.17042034072099158,3,100.0,0.0,76.7
"cap_segment,dow,month",3,cap_segment=mid_cap | dow=Mon | month=Nov,418,1.2463741003575617,54.30622009569378,31931.71621444011,2.104137698858254,1,100.0,0.0,100.0
"rsi_severity_fine,quarter",2,rsi_severity_fine=L<15 | quarter=Q2,1097,1.2462634841096332,56.335460346399266,82732.48163915044,0.07049866451163814,3,66.7,33.3,68.5
"direction,rsi_severity_fine,quarter",3,direction=long | rsi_severity_fine=L<15 | quarter=Q2,1097,1.2462634841096332,56.335460346399266,82732.48163915044,0.07049866451163814,3,66.7,33.3,68.5
"rsi_severity,rsi_severity_fine,quarter",3,rsi_severity=deep | rsi_severity_fine=L<15 | quarter=Q2,1097,1.2462634841096332,56.335460346399266,82732.48163915044,0.07049866451163814,3,66.7,33.3,68.5
"rsi_severity_fine,quarter,confirmation_lag_min",3,rsi_severity_fine=L<15 | quarter=Q2 | confirmation_lag_min=<=15,1097,1.2462634841096332,56.335460346399266,82732.48163915044,0.07049866451163814,3,66.7,33.3,68.5
"rsi_severity_fine,R_size_bucket,month",3,rsi_severity_fine=S75-80 | R_size_bucket=2-3% | month=Aug,203,1.246128676360793,59.11330049261084,13406.996215248375,0.2520231632429216,1,100.0,0.0,100.0
"tod_bucket,dow,month",3,tod_bucket=mid | dow=Tue | month=Jul,250,1.2459808036358861,57.199999999999996,19687.269930124134,0.45454107949927663,1,100.0,0.0,100.0
"rsi_severity_fine,R_size_bucket,dow",3,rsi_severity_fine=L15-20 | R_size_bucket=3%+ | dow=Fri,160,1.2455296355342151,55.00000000000001,7200.288095242291,0.16768776371606184,12,58.3,41.7,65.3
"direction,cap_segment,dow",3,direction=short | cap_segment=small_cap | dow=Thu,3230,1.2441966618616418,57.120743034055735,261007.1311049299,0.24620387233560517,13,53.8,46.2,30.1
"direction,R_size_bucket,month",3,direction=short | R_size_bucket=2-3% | month=Nov,503,1.2432432566113325,56.2624254473161,35738.86420519249,0.4434470983535882,1,100.0,0.0,100.0
"tod_bucket,rsi_severity_fine,month",3,tod_bucket=morning | rsi_severity_fine=S80-85 | month=Feb,420,1.2425181677407013,58.80952380952381,37590.60952261758,0.16204221486165538,1,100.0,0.0,100.0
"R_size_bucket,dow,quarter",3,R_size_bucket=3%+ | dow=Thu | quarter=Q4,266,1.2419041155948325,55.26315789473685,14570.567704422396,0.3522123327833998,3,100.0,0.0,52.5
"tod_bucket,R_size_bucket,dow",3,tod_bucket=morning | R_size_bucket=3%+ | dow=Mon,1551,1.2417111316925207,58.54287556415216,76014.45031941532,0.08726535065607927,13,53.8,46.2,155.8
"cap_segment,dow",2,cap_segment=mid_cap | dow=Sat,122,1.2408777246511735,50.81967213114754,12380.750520619207,0.0,1,100.0,0.0,100.0
"cap_segment,dow,month",3,cap_segment=mid_cap | dow=Sat | month=Feb,122,1.2408777246511735,50.81967213114754,12380.750520619207,0.0,1,100.0,0.0,100.0
"cap_segment,dow,quarter",3,cap_segment=mid_cap | dow=Sat | quarter=Q1,122,1.2408777246511735,50.81967213114754,12380.750520619207,0.0,1,100.0,0.0,100.0
"cap_segment,dow,confirmation_lag_min",3,cap_segment=mid_cap | dow=Sat | confirmation_lag_min=<=15,122,1.2408777246511735,50.81967213114754,12380.750520619207,0.0,1,100.0,0.0,100.0
"R_size_bucket,dow,month",3,R_size_bucket=1-2% | dow=Mon | month=Jun,777,1.2402361429627244,54.56885456885456,63128.467806846675,0.20237961889495742,1,100.0,0.0,100.0
"direction,dow,month",3,direction=short | dow=Fri | month=Jul,448,1.2394761143732742,58.70535714285714,33931.31372466762,1.3741272447444766,1,100.0,0.0,100.0
"direction,tod_bucket,R_size_bucket",3,direction=short | tod_bucket=morning | R_size_bucket=3%+,3097,1.23834208133077,57.76557959315467,175519.6130967511,0.196027577693052,13,76.9,23.1,26.1
"rsi_severity_fine,R_size_bucket,month",3,rsi_severity_fine=S85+ | R_size_bucket=1-2% | month=Jan,149,1.2378065199588881,57.71812080536913,12504.097825070035,0.17556257726311958,1,100.0,0.0,100.0
"rsi_severity_fine,R_size_bucket,dow",3,rsi_severity_fine=S75-80 | R_size_bucket=2-3% | dow=Thu,867,1.2377825255077495,58.13148788927336,58342.30936463534,0.21201777405290007,13,69.2,30.8,33.5
"rsi_severity_fine,R_size_bucket,quarter",3,rsi_severity_fine=L<15 | R_size_bucket=1-2% | quarter=Q2,551,1.2361432651961888,56.62431941923774,45727.42523011438,0.08240111715009335,3,100.0,0.0,52.0
"cap_segment,R_size_bucket,quarter",3,cap_segment=large_cap | R_size_bucket=2-3% | quarter=Q2,636,1.2360453919405765,56.289308176100626,33686.41556418335,0.1338787323110947,3,100.0,0.0,36.0
"rsi_severity_fine,R_size_bucket,dow",3,rsi_severity_fine=S75-80 | R_size_bucket=2-3% | dow=Fri,659,1.236018923451074,56.904400606980275,43217.640121712066,0.11651872934899456,13,69.2,30.8,100.9
"rsi_severity_fine,R_size_bucket,month",3,rsi_severity_fine=S80-85 | R_size_bucket=2-3% | month=Jun,177,1.2355059071044232,60.451977401129945,10927.967452922127,0.20776710498460566,1,100.0,0.0,100.0
"rsi_severity_fine,dow,month",3,rsi_severity_fine=S80-85 | dow=Tue | month=Nov,122,1.2346413353525365,54.91803278688525,10092.379886721741,0.40549025309964143,1,100.0,0.0,100.0
"cap_segment,rsi_severity_fine,month",3,cap_segment=small_cap | rsi_severity_fine=S80-85 | month=Sep,647,1.2325194622204947,58.26893353941267,46074.95065967653,0.3421457267026769,2,100.0,0.0,97.3
"R_size_bucket,quarter",2,R_size_bucket=3%+ | quarter=Q3,1459,1.231959717057115,56.20287868403015,74212.73963708097,0.26772960267680657,4,100.0,0.0,40.9
"R_size_bucket,quarter,confirmation_lag_min",3,R_size_bucket=3%+ | quarter=Q3 | confirmation_lag_min=<=15,1459,1.231959717057115,56.20287868403015,74212.73963708097,0.26772960267680657,4,100.0,0.0,40.9
"rsi_severity_fine,dow,month",3,rsi_severity_fine=S85+ | dow=Fri | month=Sep,146,1.231085346470259,56.16438356164384,10834.301392929221,0.4464820502176519,2,50.0,50.0,146.9
