T0_signal_date,T1_entry_date,symbol,cap_segment,t0_pct_change,t0_vol_ratio_20d,t0_close,t1_open,t1_high,gap_pct,entry_price,hard_sl,t1_target,t2_target,exit_price,exit_reason,stop_distance,qty,realized_pnl,fee,net_pnl
2024-10-17,2024-10-18,NSE:INDOTECH,small_cap,4.998634826622972,2.4815954187472977,2499.65,2597.7,2624.6,3.9225491568819493,2377.0,2637.7229999999995,2597.7,2499.65,2499.65,t2_full_gap_fill,260.7229999999995,3,-367.9500000000003,7.7339687097,-375.68396870970025
2024-04-01,2024-04-02,NSE:INDRAMEDCO,mid_cap,4.989786985701783,2.1948282746787435,179.9,182.05,188.85,1.195108393551969,184.6,189.79424999999998,182.05,179.9,188.85,eod,5.1942499999999825,192,-816.0,38.01332557439999,-854.0133255744
2024-04-02,2024-04-03,NSE:INDRAMEDCO,mid_cap,4.919399666481383,3.4215172965406917,188.75,193.95,198.15,2.7549668874172095,190.9,199.14075,193.95,188.75,198.15,eod,8.240749999999991,121,-877.25,24.9194665203,-902.1694665203
2024-04-03,2024-04-04,NSE:INDRAMEDCO,mid_cap,4.821192052980128,8.182488315197546,197.85,202.5,207.7,2.3502653525398154,204.65,208.73849999999996,202.5,197.85,207.7,eod,4.088499999999954,244,-744.1999999999958,53.3847024404,-797.5847024403959
2024-04-04,2024-04-05,NSE:INDRAMEDCO,mid_cap,4.978519080111199,11.956043535177681,207.7,215.0,249.0,3.5146846413095956,243.0,250.24499999999998,215.0,207.7,243.9,eod,7.244999999999976,138,-124.20000000000078,35.692676233200004,-159.8926762332008
2024-08-06,2024-08-07,NSE:INDRAMEDCO,mid_cap,19.818952234206467,15.975943806719162,311.05,314.7,342.9,1.1734447837968176,321.45,344.61449999999996,314.7,311.05,326.75,eod,23.164499999999975,43,-227.9000000000005,14.786597875600002,-242.68659787560048
2024-12-03,2024-12-04,NSE:INDRAMEDCO,mid_cap,5.432595573440646,2.8034055658127834,497.8,507.0,512.9,1.8481317798312524,507.95,515.4644999999999,507.0,497.8,497.8,t2_full_gap_fill,7.514499999999941,133,1349.949999999997,70.91658333849999,1279.033416661497
2024-06-19,2024-06-20,NSE:INSECTICID,small_cap,5.270994639666471,4.995548390584211,707.0,715.0,731.9,1.1315417256011262,727.0,735.5594999999998,715.0,707.0,719.4,eod,8.559499999999844,116,881.6000000000026,77.06258045439998,804.5374195456027
2024-02-01,2024-02-02,NSE:ITDC,mid_cap,19.998426559672723,4.488514901751908,762.65,790.0,838.9,3.58617976791451,838.9,847.289,790.0,762.65,838.9,eod,8.38900000000001,119,0.0,82.6205626292,-82.6205626292
2024-02-02,2024-02-05,NSE:ITDC,mid_cap,9.998033173801879,1.9117450564646519,838.9,852.95,878.95,1.6748122541423438,828.35,883.34475,852.95,838.9,838.9,t2_full_gap_fill,54.994749999999954,18,-189.89999999999918,15.926870762999995,-205.82687076299916
2024-02-22,2024-02-23,NSE:JAIBALAJI,mid_cap,4.813450023030863,1.8217842386615393,227.55,234.0,238.9,2.8345418589321048,238.9,241.28900000000002,234.0,227.55,238.9,eod,2.38900000000001,418,0.0,82.63159728240001,-82.63159728240001
2024-09-05,2024-09-06,NSE:JAIBALAJI,mid_cap,4.998809807188764,3.335387632740976,220.55,226.45,227.1,2.6751303559283457,215.7,228.23549999999997,226.45,220.55,220.55,t2_full_gap_fill,12.535499999999985,79,-383.1500000000018,18.2720970325,-401.4220970325018
2024-06-11,2024-06-12,NSE:JAICORPLTD,small_cap,19.993751952514828,16.58898083506026,384.1,390.0,402.95,1.536058318146316,382.35,404.9647499999999,390.0,384.1,384.1,t2_full_gap_fill,22.6147499999999,44,-77.0,17.9125596628,-94.91255966279999
2024-02-06,2024-02-07,NSE:JAYNECOIND,mid_cap,4.956268221574334,4.95353366905678,54.0,55.7,56.7,3.1481481481481444,56.7,57.267,55.7,54.0,56.7,eod,0.5670000000000002,1763,0.0,82.66775262520001,-82.66775262520001
2024-02-08,2024-02-09,NSE:JAYNECOIND,mid_cap,4.938271604938271,2.4198773587074975,59.5,62.45,62.45,4.9579831932773155,58.75,62.762249999999995,62.45,59.5,59.5,t2_full_gap_fill,4.0122499999999945,249,-186.75,15.626308615499996,-202.3763086155
2024-02-09,2024-02-12,NSE:JAYNECOIND,mid_cap,4.9579831932773155,4.949065469476717,62.45,65.0,65.4,4.083266613290637,60.45,65.727,65.0,62.45,62.45,t2_full_gap_fill,5.277000000000001,189,-378.0,12.301971708600002,-390.3019717086
2024-08-20,2024-08-21,NSE:JGCHEM,small_cap,19.987913582112114,4.584502146641147,397.1,408.95,429.0,2.984134978594799,399.45,431.145,408.95,397.1,397.1,t2_full_gap_fill,31.694999999999993,31,72.84999999999894,13.1300484283,59.71995157169894
2024-11-14,2024-11-18,NSE:JGCHEM,small_cap,19.993954964485418,3.608158656048443,397.0,415.0,435.0,4.534005037783384,405.0,437.17499999999995,415.0,397.0,415.95,eod,32.174999999999955,31,-339.44999999999965,13.4866509267,-352.93665092669966
2024-11-26,2024-11-27,NSE:JINDALPOLY,small_cap,8.979089790897898,6.381027767425148,886.0,896.1,896.95,1.1399548532731396,883.3,901.4347499999999,896.1,886.0,886.0,t2_full_gap_fill,18.13474999999994,55,-148.5000000000025,51.69557996900001,-200.1955799690025
2024-11-19,2024-11-21,NSE:JINDWORLD,small_cap,19.6078431372549,24.147277447538574,67.1,70.0,71.75,4.321907600596142,65.75,72.10874999999999,70.0,67.1,67.1,t2_full_gap_fill,6.358749999999986,157,-211.9499999999991,11.060459574699998,-223.0104595746991
2024-05-27,2024-05-28,NSE:JMFINANCIL,mid_cap,5.249679897567239,2.4742237660018676,82.2,83.2,85.05,1.2165450121654597,84.1,85.47524999999999,83.2,82.2,82.2,t2_full_gap_fill,1.375249999999994,727,1381.2999999999938,64.3989815406,1316.9010184593938
2024-06-18,2024-06-19,NSE:JNKINDIA,small_cap,19.999999999999996,9.234718483277094,816.0,834.0,863.95,2.2058823529411686,839.0,868.2697499999999,834.0,816.0,840.45,eod,29.26974999999993,34,-49.300000000001546,30.338550427799994,-79.63855042780153
2024-08-16,2024-08-19,NSE:JNKINDIA,small_cap,4.885714285714293,1.9858636532656033,734.2,747.85,768.0,1.8591664396622187,755.0,771.8399999999999,747.85,734.2,757.0,eod,16.839999999999918,59,-118.0,47.39268644799999,-165.392686448
2024-04-05,2024-04-08,NSE:JPPOWER,mid_cap,4.878048780487809,3.0288693392514783,19.35,19.6,19.6,1.2919896640826822,18.8,19.698,19.6,19.35,19.35,t2_full_gap_fill,0.8979999999999997,1113,-612.1500000000008,22.496667095699998,-634.6466670957008
